450 4
0.00195313 -0.498047 | 0.0546477 
0.501953 -0.498047 | 0.0351673 
1.00195 -0.998047 | 0.0401673 
1.9082 -0.873047 | 0.0213267 
1.56836 -0.748047 | 0.0194386 
1.9082 -0.482422 | 0.00665689 
1.81055 -0.0136719 | -0.00625327 9.75028 
1.26367 -0.212891 | 0.0062297 
1.24023 -0.458984 | 0.0142338 
1.00195 0.00195313 | 0.00620633 
1.13477 0.119141 | 0.000529813 
1.14648 0.189453 | -0.001189 4.85132 
1.0332 0.193359 | 0.0012474 
1.09961 0.451172 | -0.00478397 3.86123 
1.15039 0.267578 | -0.0027891 4.80825 
1.38867 0.0683594 | -0.00311136 7.39303 
1.53711 0.302734 | -0.0100549 8.28291 
1.5332 0.791016 | -0.0163811 6.92255 
1.32227 0.576172 | -0.0109042 5.98032 
1.13477 0.779297 | -0.00938285 3.28292 
0.994141 0.830078 | -0.00659061 1.25136 
0.939453 0.798828 | -0.00500083 0.593853 
0.904297 0.779297 | -0.00394162 0.144482 
0.876953 0.787109 | -0.00329068 -0.307424 -178.666 -1.23412 
0.888672 0.818359 | -0.00384769 -0.251018 -182.955 -1.32255 
0.916016 0.826172 | -0.00461637 0.133724 
0.916016 0.849609 | -0.00478611 0.0355339 
0.923828 0.869141 | -0.00511917 0.0688065 
0.904297 0.857422 | -0.00453794 -0.17519 -187.96 -1.40779 
0.869141 0.853516 | -0.00358762 -0.702076 -166.757 -1.43996 
0.818359 0.837891 | -0.00209946 -1.4515 -128.699 -1.38697 
0.853516 0.802734 | -0.0027916 -0.738917 -160.573 -1.36067 
0.787109 0.787109 | -0.000832614 -1.76485 -105.974 -1.35954 
0.767578 0.822266 | -0.000554843 -2.23797 -84.3339 -1.25445 
0.759766 0.916016 | -0.000950778 -2.77953 -67.624 -0.806014 
0.853516 0.880859 | -0.00335129 -1.06774 -152.761 -1.41206 
0.833984 0.939453 | -0.00316117 -1.64804 -131.607 -1.1293 
0.794922 0.943359 | -0.00209891 -2.30963 -97.4675 -0.876656 
0.779297 0.998047 | -0.00190818 -2.83827 -77.6778 -0.511934 
0.705078 0.970703 | 0.000373685 
0.724609 0.904297 | 0.000142178 
0.505859 0.939453 | 0.00687997 
0.505859 0.662109 | 0.00909439 
0.744141 0.580078 | 0.0025383 
0.794922 0.521484 | 0.00184628 
0.814453 0.533203 | 0.00114358 
0.826172 0.615234 | -0.000206454 -0.514842 -157.58 -0.571209 
0.857422 0.658203 | -0.0015394 -0.148945 -177.928 -0.643368 
0.876953 0.712891 | -0.00262271 -0.029104 -186.088 -0.842616 
0.947266 0.728516 | -0.00458359 0.976984 
0.943359 0.685547 | -0.00406192 1.07167 
0.974609 0.533203 | -0.003038 1.98767 
0.916016 0.494141 | -0.00103147 1.22969 
0.794922 0.451172 | 0.00284988 
0.853516 0.384766 | 0.00227627 
0.978516 0.251953 | 0.00140817 
0.826172 0.0800781 | 0.00891629 
0.587891 0.0253906 | 0.017286 
0.697266 0.462891 | 0.00551541 
0.392578 0.138672 | 0.0214319 
0.142578 0.337891 | 0.0272622 
0.00195313 1.00195 | 0.0262063 
0.357422 1.4043 | 0.0118683 
0.291016 1.12695 | 0.0139956 
0.521484 1.16211 | 0.0056885 
0.662109 1.16211 | 0.00116543 
0.697266 1.24414 | 0.00010159 
0.728516 1.09961 | -0.000746555 -4.24974 -19.8801 -0.0782851 
0.841797 1.02539 | -0.00374796 -1.94408 -129.281 -0.718816 
0.927734 1.12305 | -0.00625418 -1.13749 -172.507 -0.685421 
0.998047 1.23633 | -0.00803989 -0.792866 -176.356 -0.475069 
0.830078 1.33789 | -0.003543 -3.97986 -88.5609 -0.00761737 
0.970703 1.41602 | -0.00692166 -2.37006 -155.868 -0.0270003 
0.857422 1.4082 | -0.00404135 -4.02346 -102.928 -0.00309264 
0.763672 1.43945 | -0.00129624 -5.7947 -18.9516 -0.000179588 
0.716797 1.48242 | 0.000296536 
0.666016 1.36523 | 0.0013041 
0.521484 1.46289 | 0.00636526 
0.634766 1.59961 | 0.00359646 
0.716797 1.5293 | 0.000583279 
0.759766 1.53711 | -0.000620822 -6.58858 -5.51465 -0.000124178 
0.896484 1.54883 | -0.00429166 -4.45375 -114.507 -0.000269812 
0.935547 1.69336 | -0.00407755 -5.03714 -118.54 -1.47028e-05 
0.857422 1.68164 | -0.00215506 -6.13565 -75.5842 -3.4724e-05 
0.759766 1.66211 | 0.000378201 
0.822266 1.84961 | 0.000701443 
0.876953 1.75586 | -0.00190567 -6.46618 -81.7906 -2.51654e-05 
0.966797 1.81055 | -0.00356443 -5.60845 -115.697 -9.7811e-07 
0.955078 1.88086 | -0.002366 -6.42645 -105.985 -6.63437e-07 
0.951172 1.99023 | -0.000659579 -7.54175 -93.9792 -9.65471e-07 
0.830078 1.94336 | 0.00179269 
0.728516 1.9707 | 0.0050925 
0.638672 1.83008 | 0.00584744 
0.365234 1.94727 | 0.0167477 
0.384766 1.65039 | 0.0124793 
0.00195313 2.00195 | 0.0322454 
0.00976563 2.54492 | 0.0435594 
0.501953 2.50195 | 0.0232845 
0.857422 2.86133 | 0.0231253 
0.998047 2.49805 | 0.00879617 
0.755859 2.49805 | 0.0152047 
0.748047 2.24805 | 0.0095657 
0.751953 2.00195 | 0.00489969 
0.876953 2.12695 | 0.00359695 
0.998047 2.12305 | 0.000467068 
0.935547 2.06055 | 0.000893826 
1.00195 2.00195 | -0.00171555 -6.93688 -99.7931 -2.4103e-09 
1.12695 2.12695 | -0.00239328 -6.60295 -42.0487 -3.85643e-05 
1.18945 2.18945 | -0.00249778 -6.54667 13.2622 
1.24805 2.12305 | -0.0049177 -5.19494 60.4779 
1.25195 2.00195 | -0.00708078 -3.90547 52.0499 
1.38086 2.12305 | -0.00726993 -3.93037 172.21 
1.25195 2.25195 | -0.00244602 -6.56416 77.0499 
1.37695 2.37695 | -0.00187375 -6.82051 195.062 
1.37305 2.49805 | 0.00118777 
1.24805 2.49805 | 0.0034114 
1.00195 2.50195 | 0.00880398 
1.00977 2.74023 | 0.0153898 
1.25195 2.75195 | 0.0105735 
1.49805 2.74805 | 0.00639187 
1.37305 2.62305 | 0.00458914 
1.37695 2.50195 | 0.00122488 
